variedad,entrena_con
ARANA,ARANA
ATLAS,ATLAS
AZRA,BELLA
BEAUTY,BEAUTY
BELLA,BELLA
BIANCA,BIANCA
BILOXI,VENTURA
BONITA,JUPITER
EMERALD,EMERALD
FCM17-132,POP
JUPITER,JUPITER
KIRRA,JUPITER
MADEIRA,VENTURA
MAGICA,MAGICA
MAGNUS,ROSITA
MALIBU,VENTURA
MASIRAH,ATLAS
POP,POP
RAYMI,ARANA
ROSITA,ROSITA
STELLA,ATLAS
TERRAPIN,BIANCA
VENTURA,VENTURA
